composed_key,schedDepTime,actDepTime,schedArrTime,actArrTime
2011-12-09 - AA-3827-ATL-ORD,13950.0,14092.0,14085.0,14187.0
2011-12-12 - UA-1457-SFO-IAH,18120.0,18126.0,18347.0,18363.0
2011-12-13 - UA-3506-MSP-ORD,19849.0,19858.0,19929.0,19904.0
2011-12-19 - AA-1824-PHX-DFW,28840.0,28899.0,28970.0,29011.0
2011-12-12 - CO-1239-IAH-LAX,18214.0,18213.0,18440.0,18448.0
2011-12-29 - CO-59-IAH-DEN,43179.0,43177.0,43340.0,43347.0
2011-12-19 - AA-4064-ORD-CLE,28785.0,28790.0,28870.0,28840.0
2011-12-11 - AA-1077-DFW-SFO,16665.0,16680.0,16890.0,16887.0
2011-12-28 - UA-2115-EWR-PHL,41010.0,41010.0,41069.0,41056.0
2011-12-01 - AA-19-JFK-LAX,2370.0,2382.0,2713.0,2734.0
2011-12-17 - CO-1232-IAH-MIA,25275.0,25276.0,25422.0,25420.0
2011-12-11 - UA-3769-ATL-IAD,17294.0,17508.0,17369.0,16145.0
2011-12-03 - AA-613-JFK-MIA,5685.0,5705.0,5890.0,5867.0
2011-12-24 - CO-1009-ORD-IAH,36090.0,36123.0,36243.0,36277.0
2011-12-26 - AA-3717-IAH-ORD,38930.0,38932.0,39080.0,39075.0
2011-12-08 - AA-1223-CLT-DFW,12365.0,12353.0,12550.0,12514.0
2011-12-30 - UA-521-DCA-ORD,44018.0,44027.0,44146.0,44152.0
2011-12-19 - AA-4-LAX-JFK,28575.0,28588.0,28878.0,28857.0
2011-12-31 - AA-119-EWR-LAX,46035.0,46028.0,46420.0,46397.0
2011-12-29 - UA-3798-ORD-BDL,42769.0,42815.0,42890.0,42926.0
2012-01-02 - AA-2374-DFW-ORD,49095.0,49132.0,49220.0,49260.0
2011-12-07 - UA-1960-AVL-CLT,11142.0,11195.0,11195.0,11228.0
2011-12-02 - CO-1054-IAH-EWR,4505.0,4505.0,3258.0,3258.0
2011-12-08 - AA-643-MIA-ORD,12250.0,12263.0,12455.0,12419.0
2011-12-24 - AA-2020-MIA-ATL,35270.0,35269.0,35385.0,35381.0
2011-12-01 - AA-2473-DFW-LAX,2885.0,2913.0,3085.0,3096.0
2011-12-05 - CO-1117-EWR-SFO,8435.0,8443.0,8781.0,8770.0
2011-12-18 - UA-6273-YYC-SFO,26850.0,26850.0,26993.0,27005.0
2012-01-02 - AA-939-MIA-CUR,48785.0,48791.0,48955.0,48943.0
2011-12-25 - UA-4436-IAH-VER,37590.0,37605.0,37723.0,37718.0
2011-12-31 - AA-1472-DFW-ATL,45695.0,45701.0,45815.0,45808.0
2011-12-02 - UA-1734-EWR-BOS,4200.0,4266.0,4280.0,4360.0
2011-12-24 - AA-1072-DFW-OMA,36030.0,36053.0,36116.0,36125.0
2011-12-18 - AA-280-LAX-MIA,26940.0,26940.0,27225.0,27240.0
2011-12-09 - UA-4888-IAH-DAL,14370.0,14370.0,14440.0,14440.0
2011-12-20 - UA-2465-CLT-DFW,29886.0,29903.0,30058.0,30068.0
2011-12-08 - AA-2147-MIA-CUN,13020.0,13027.0,13125.0,13103.0
2011-12-01 - AA-203-MIA-LAX,2590.0,2603.0,2916.0,2929.0
2011-12-28 - CO-1739-EWR-SEA,41459.0,41464.0,41807.0,41847.0
2011-12-08 - UA-2467-CLT-DFW,13045.0,13058.0,13216.0,13201.0
2011-12-12 - AA-463-ORF-DFW,17970.0,17978.0,18169.0,18160.0
2011-12-04 - AA-530-MIA-JFK,6980.0,7066.0,7165.0,7217.0
2011-12-30 - AA-352-ORD-LGA,44600.0,44639.0,44730.0,44738.0
2011-12-24 - AA-4360-ORD-DTW,35485.0,35492.0,35546.0,35541.0
2011-12-02 - UA-2802-MSP-PHX,3680.0,3708.0,3909.0,3898.0
2011-12-19 - CO-1173-IAH-DEN,28245.0,28261.0,28393.0,28378.0
2011-12-13 - UA-1649-FLL-IAH,19390.0,19389.0,19558.0,19558.0
2011-12-02 - UA-2802-MSP-PHX,3680.0,3680.0,3909.0,3906.0
2011-12-19 - UA-6505-CLD-LAX,28791.0,28791.0,28830.0,28830.0
2012-01-02 - AA-119-EWR-LAX,48910.0,48988.0,49290.0,49335.0
2011-12-24 - AA-1688-CUN-DFW,35840.0,35838.0,36020.0,35999.0
2011-12-11 - AA-1366-ELP-DFW,16975.0,16975.0,17075.0,17073.0
2011-12-24 - AA-4368-ORD-CVG,35835.0,35842.0,35905.0,35887.0
2012-01-02 - UA-4658-IAH-SHV,49150.0,49182.0,49203.0,49228.0
2011-12-26 - AA-1442-STL-ORD,38635.0,38647.0,38710.0,38694.0
2011-12-17 - UA-1203-TPA-CLE,25805.0,25801.0,25952.0,25945.0
2011-12-09 - AA-271-MIA-LAX,13955.0,13976.0,14305.0,14309.0
2011-12-25 - CO-88-EWR-IAH,37440.0,37456.0,37678.0,37689.0
2011-12-03 - AA-3842-MSP-ORD,5040.0,5056.0,5130.0,5104.0
2011-12-02 - AA-19-JFK-LAX,3810.0,3820.0,4185.0,4159.0
2011-12-30 - UA-2802-MSP-PHX,43995.0,44005.0,44224.0,44169.0
2011-12-14 - AA-644-DEN-DFW,21225.0,21240.0,21345.0,21338.0
2012-01-01 - UA-2882-PHL-DTW,47610.0,47604.0,47713.0,47700.0
2011-12-14 - UA-86-PVG-EWR,20695.0,20702.0,21560.0,21542.0
2011-12-08 - AA-3725-LAX-IAH,12855.0,12864.0,13045.0,13013.0
2011-12-31 - AA-610-DFW-BOS,46155.0,46189.0,46350.0,46361.0
2011-12-19 - UA-397-JFK-SFO,28165.0,28183.0,28574.0,28550.0
2011-12-27 - UA-1628-SEA-CLE,40730.0,40730.0,40989.0,40989.0
2011-12-02 - AA-1394-DFW-FLL,3790.0,3809.0,3945.0,3948.0
2011-12-17 - AA-810-ORD-DCA,25695.0,25718.0,25795.0,25792.0
2011-12-13 - AA-3756-ORD-SLC,19815.0,19830.0,20020.0,20014.0
2011-12-04 - UA-2690-DFW-CLT,6955.0,6965.0,7098.0,7079.0
2011-12-17 - CO-1406-IAH-LAX,26070.0,26080.0,26305.0,26290.0
2011-12-24 - UA-1005-PDX-EWR,35495.0,35509.0,35780.0,35790.0
2011-12-28 - UA-479-BWI-LAX,41040.0,41056.0,41389.0,41357.0
2011-12-13 - CO-51-EWR-CLE,19985.0,19990.0,20085.0,20073.0
2012-01-03 - UA-2859-MSP-PHL,49725.0,49747.0,49888.0,49888.0
2011-12-01 - AA-3724-IAH-LAX,3005.0,3041.0,3225.0,3234.0
2011-12-11 - AA-1990-TUS-ORD,17110.0,17116.0,17292.0,17282.0
2011-12-16 - CO-40-LAX-EWR,23910.0,23931.0,24228.0,24263.0
2011-12-20 - CO-1193-EWR-MCO,29655.0,29653.0,29836.0,29827.0
2011-12-20 - AA-2039-MIA-ORD,30400.0,30399.0,30590.0,30564.0
2011-12-18 - UA-931-LHR-SFO,26735.0,26743.0,27386.0,27385.0
2011-12-01 - UA-3373-PHL-IAD,2355.0,2346.0,2418.0,2409.0
2011-12-12 - AA-3532-CLT-MIA,17930.0,17929.0,18065.0,18050.0
2011-12-31 - UA-1142-IAH-BOS,46158.0,46175.0,46382.0,46362.0
2011-12-04 - AA-404-MIA-MCO,6465.0,6479.0,6525.0,6527.0
2011-12-12 - AA-1607-OKC-DFW,18445.0,18439.0,18510.0,18494.0
2011-12-08 - CO-4295-CLE-RDU,12300.0,12304.0,12391.0,12373.0
2011-12-08 - AA-2957-DFW-CVG,12355.0,12366.0,12485.0,12471.0
2011-12-02 - AA-271-MIA-LAX,3875.0,3892.0,4225.0,4205.0
2011-12-22 - AA-4111-ORD-CLT,33310.0,33397.0,31985.0,32047.0
2011-12-02 - AA-816-PAP-MIA,3810.0,3804.0,3935.0,3933.0
2011-12-29 - UA-988-DFW-DEN,42490.0,42505.0,42620.0,42654.0
2011-12-08 - CO-4455-MSP-EWR,12565.0,12576.0,12731.0,12738.0
2011-12-13 - AA-252-LAX-MIA,20050.0,20051.0,20335.0,20337.0
2011-12-07 - AA-3725-LAX-IAH,11415.0,11426.0,11605.0,11595.0
2011-12-09 - AA-643-MIA-ORD,13690.0,13707.0,13895.0,13871.0
2011-12-05 - AA-4010-CLT-ORD,8580.0,8652.0,8735.0,8752.0
2011-12-24 - UA-5140-IND-EWR,35218.0,35208.0,35345.0,35320.0
2011-12-02 - CO-1703-LAX-EWR,3875.0,3866.0,4195.0,4165.0
2011-12-09 - CO-4218-MEM-EWR,14215.0,14222.0,14346.0,14331.0
2011-12-27 - AA-205-MCO-LAX,39710.0,39714.0,40040.0,40022.0
2011-12-03 - UA-2458-CLT-CLE,5809.0,5831.0,5902.0,5924.0
2011-12-28 - AA-431-MIA-SFO,41135.0,41135.0,41510.0,41496.0
2011-12-13 - CO-4775-CLE-CVG,20025.0,20015.0,20100.0,20085.0
2011-12-12 - AA-1206-PHX-ORD,18685.0,18685.0,18890.0,18847.0
2011-12-10 - AA-264-LAX-BOS,15625.0,15640.0,15950.0,15942.0
2011-12-29 - CO-1173-IAH-DEN,42645.0,42650.0,42803.0,42808.0
2011-12-27 - AA-3514-CLE-MIA,39550.0,39561.0,39742.0,39735.0
2011-12-07 - CO-1561-PHX-IAH,10985.0,10980.0,11135.0,11121.0
2011-12-08 - AA-1572-SAT-DFW,12255.0,12293.0,12320.0,12328.0
2011-12-07 - CO-1006-IAH-ORD,10875.0,10879.0,11028.0,11024.0
2011-12-28 - CO-87-CLE-EWR,41070.0,41071.0,41167.0,41174.0
2011-12-03 - AA-3514-CLE-MIA,4990.0,5011.0,5180.0,5161.0
2011-12-11 - UA-4689-TAM-IAH,16640.0,16649.0,16740.0,16728.0
2011-12-22 - AA-1777-JFK-MCO,32510.0,32540.0,32690.0,32696.0
2011-12-30 - AA-59-JFK-SFO,43930.0,43928.0,44325.0,44323.0
2011-12-30 - UA-6139-TYS-ORD,44530.0,44540.0,44713.0,44723.0
2011-12-14 - AA-177-JFK-SFO,21520.0,21525.0,21910.0,21903.0
2011-12-17 - UA-3622-MSY-ORD,25718.0,25768.0,25855.0,25898.0
2011-12-30 - AA-487-JFK-SJU,43885.0,43881.0,44140.0,44105.0
2011-12-26 - AA-2885-DFW-CVG,38880.0,38909.0,39010.0,39030.0
2011-12-05 - UA-1226-EWR-PHX,7920.0,7934.0,8216.0,8230.0
2011-12-26 - AA-706-DEN-ORD,38800.0,38818.0,38955.0,38939.0
2011-12-22 - AA-1279-DFW-PHX,32820.0,32877.0,32975.0,33007.0
2011-12-27 - AA-4288-DTW-ORD,40495.0,40492.0,40580.0,40555.0
2011-12-30 - AA-600-DFW-FLL,44255.0,44264.0,44405.0,44405.0
2011-12-31 - AA-2435-ORD-PHX,45760.0,45777.0,45985.0,45992.0
2011-12-27 - AA-637-ORD-LAX,40240.0,40240.0,40510.0,40505.0
2011-12-02 - UA-6449-ORD-SLC,4316.0,4360.0,4525.0,4588.0
2011-12-13 - AA-716-ORD-MCO,19500.0,19495.0,19645.0,19638.0
2011-12-14 - CO-1672-PHL-IAH,21514.0,21521.0,21740.0,21717.0
2011-12-04 - CO-4658-IAH-BHM,7210.0,7269.0,7308.0,7366.0
2011-12-25 - UA-837-SFO-NRT,37167.0,37167.0,37845.0,37845.0
2011-12-14 - AA-567-MCO-DFW,21300.0,21321.0,21460.0,21460.0
2011-12-26 - AA-4008-ORD-CLT,38665.0,38674.0,38775.0,38762.0
2011-12-31 - AA-1560-DFW-IAH,45765.0,45776.0,45830.0,45817.0
2011-12-18 - AA-1472-DFW-ATL,26975.0,26968.0,27095.0,27083.0
2011-12-31 - UA-927-ORD-MCI,45757.0,45780.0,45843.0,45849.0
2011-12-22 - AA-1072-MFE-DFW,32995.0,33031.0,33090.0,33116.0
2011-12-22 - AA-954-TGU-MIA,32915.0,32951.0,33050.0,33105.0
2011-12-03 - CO-1410-LAX-IAH,5200.0,5213.0,5393.0,5383.0
2011-12-05 - UA-1589-MFE-IAH,8042.0,8037.0,8119.0,8130.0
2011-12-05 - AA-1309-DFW-SFO,8395.0,8422.0,8591.0,8614.0
2011-12-22 - AA-3728-EWR-ORD,32785.0,32823.0,32950.0,32956.0
2011-12-31 - UA-3737-IAD-RDU,45831.0,45859.0,45896.0,45917.0
2011-12-31 - AA-3534-CLT-MIA,45570.0,45584.0,45688.0,45677.0
2011-12-13 - CO-51-EWR-CLE,19985.0,19990.0,20085.0,20073.0
2011-12-11 - UA-2906-PHL-MCO,17090.0,17097.0,17243.0,17223.0
2011-12-11 - AA-1445-ATL-DFW,16795.0,16797.0,16950.0,16912.0
2011-12-16 - AA-451-ORD-SFO,24005.0,24026.0,24250.0,24257.0
2011-12-12 - UA-947-SFO-DEN,18671.0,18669.0,18796.0,18788.0
2011-12-04 - UA-1677-PHL-IAH,6402.0,6398.0,6625.0,6609.0
2011-12-05 - UA-6436-ORD-CMH,8235.0,8231.0,8302.0,8302.0
2011-12-02 - AA-858-TPA-MIA,3595.0,3593.0,3655.0,3649.0
2011-12-22 - AA-2428-LAX-DFW,32660.0,32656.0,32845.0,32831.0
2011-12-13 - AA-607-ORD-LAX,20365.0,20402.0,20626.0,19216.0
2011-12-13 - AA-1520-LAX-MIA,19860.0,19859.0,20145.0,20149.0
2011-12-25 - UA-264-DEN-PHL,37013.0,37009.0,37226.0,37209.0
2011-12-14 - CO-1703-LAX-EWR,21155.0,21150.0,21475.0,21457.0
2011-12-22 - AA-524-DFW-DTW,33085.0,33088.0,33235.0,33239.0
2011-12-12 - UA-2830-MCO-CLT,18507.0,18502.0,18605.0,18621.0
2011-12-31 - AA-2378-EGE-ORD,45730.0,45732.0,45895.0,45882.0
2012-01-01 - UA-656-ORD-ALB,47234.0,47314.0,47336.0,47399.0
2011-12-26 - CO-1237-IAH-ORD,38430.0,38461.0,38552.0,38572.0
2011-12-22 - CO-1693-MCO-IAH,32510.0,32507.0,32672.0,32668.0
2011-12-30 - AA-616-DFW-DTW,44105.0,44101.0,44255.0,44251.0
2011-12-11 - AA-3762-IAH-LAX,16680.0,16697.0,16904.0,16908.0
2011-12-20 - UA-397-JFK-SFO,29605.0,29615.0,30014.0,29949.0
2011-12-03 - CO-57-EWR-MCO,5505.0,5517.0,5649.0,5651.0
2011-12-26 - AA-706-DEN-ORD,38800.0,38798.0,38955.0,38939.0
2011-12-03 - UA-6272-SFO-LAS,5346.0,5357.0,5432.0,5426.0
2011-12-01 - UA-432-ORD-CLT,2590.0,2583.0,2699.0,2681.0
2011-12-20 - UA-2115-EWR-PHL,29490.0,29503.0,29549.0,29549.0
2011-12-10 - UA-2515-TPA-CLT,15210.0,15217.0,15311.0,15287.0
2012-01-03 - UA-3496-YUL-ORD,49620.0,49662.0,49783.0,49769.0
2011-12-25 - AA-2134-CCS-MIA,36690.0,36695.0,36895.0,36901.0
2011-12-15 - UA-6465-SLC-LAX,22350.0,22401.0,22476.0,22501.0
2011-12-11 - CO-1459-IAH-LAS,17080.0,17079.0,17285.0,17284.0
2011-12-08 - AA-3509-MIA-ATL,12840.0,12860.0,12965.0,12954.0
2011-12-09 - UA-3748-ORD-CLT,14591.0,14587.0,14699.0,14683.0
2011-12-22 - AA-402-DFW-CLT,32865.0,32863.0,33000.0,32995.0
2011-12-18 - AA-2354-DFW-ORD,27125.0,27134.0,27265.0,27238.0
2011-12-05 - CO-1272-IAH-AUS,8270.0,8300.0,8333.0,8333.0
2011-12-28 - UA-567-IAH-SFO,41130.0,41143.0,41397.0,41372.0
2011-12-05 - UA-230-IAH-ORD,8610.0,8603.0,8765.0,8745.0
2011-12-24 - AA-536-DFW-ATL,35295.0,35291.0,35420.0,35401.0
2011-12-25 - AA-3801-PHX-LAX,37070.0,37061.0,37170.0,37144.0
2011-12-03 - UA-5451-DEN-GJT,5418.0,5544.0,5451.0,5576.0
2011-12-12 - CO-1072-EWR-RSW,18255.0,18257.0,18437.0,18427.0
2012-01-01 - AA-4064-ORD-CLE,47505.0,47618.0,47590.0,47672.0
2011-12-17 - UA-520-ORD-MCO,25333.0,25483.0,25492.0,25612.0
2011-12-04 - AA-436-SAN-DFW,6845.0,6859.0,7025.0,7014.0
2011-12-09 - UA-1426-IAH-MID,14480.0,14490.0,14607.0,14607.0
2011-12-26 - UA-4665-MSP-EWR,38140.0,38169.0,38303.0,38310.0
2011-12-10 - CO-52-IAH-LAX,15215.0,15216.0,15441.0,15443.0
2011-12-13 - CO-1218-EWR-DFW,19560.0,19596.0,19818.0,19819.0
2011-12-07 - AA-3786-IAH-ORD,11400.0,11415.0,11560.0,11564.0
2011-12-11 - CO-4221-IAH-MEM,17070.0,17062.0,17159.0,17146.0
2011-12-13 - AA-34-LAX-JFK,19685.0,19678.0,20010.0,19994.0
2011-12-12 - AA-3532-CLT-MIA,17930.0,17946.0,18049.0,18045.0
2011-12-02 - CO-4202-IAH-ATL,3940.0,3952.0,4054.0,4044.0
2011-12-05 - AA-613-JFK-MIA,8565.0,8673.0,8770.0,8823.0
2011-12-11 - UA-2451-CLT-BWI,17035.0,17042.0,17119.0,17131.0
2011-12-25 - UA-780-BOS-LAX,36660.0,36655.0,37065.0,37009.0
2011-12-10 - AA-3725-LAX-IAH,15735.0,15742.0,15905.0,15895.0
2012-01-02 - AA-1718-ORD-BOS,48430.0,48461.0,48555.0,48571.0
2011-12-01 - CO-1016-DEN-IAH,2289.0,2286.0,2436.0,2441.0
2012-01-03 - UA-4444-YOW-EWR,49625.0,49622.0,49725.0,49711.0
2011-12-13 - UA-1545-EWR-IAH,19350.0,19361.0,19579.0,19544.0
2012-01-02 - UA-2688-DEN-PHX,48675.0,48678.0,48787.0,48780.0
2011-12-20 - AA-244-LAX-MCO,29835.0,29849.0,30110.0,30138.0
2011-12-10 - CO-1030-DEN-IAH,15675.0,15808.0,15800.0,15921.0
2011-12-17 - AA-119-EWR-LAX,25875.0,25898.0,26229.0,26230.0
2011-12-29 - UA-1217-DFW-EWR,42765.0,42771.0,42953.0,42942.0
2011-12-12 - AA-2574-MIA-ATL,18715.0,18763.0,18835.0,18882.0
2011-12-20 - UA-1585-DEN-IAH,29580.0,29611.0,29730.0,29735.0
2011-12-11 - AA-4116-ORD-MEM,17100.0,17094.0,17200.0,17188.0
2011-12-05 - UA-398-IAD-SFO,7887.0,7886.0,8262.0,8220.0
2011-12-29 - AA-3573-MIA-CLT,43045.0,43045.0,43175.0,43188.0
2011-12-07 - CO-4140-MSP-EWR,11030.0,11040.0,11176.0,11178.0
2011-12-11 - UA-397-JFK-SFO,16620.0,16637.0,17029.0,16976.0
2011-12-16 - AA-530-MIA-JFK,24260.0,24271.0,24445.0,24417.0
2011-12-04 - UA-1534-RTB-IAH,6965.0,6953.0,7141.0,7123.0
2011-12-30 - AA-1046-ATL-DFW,44115.0,44109.0,44270.0,44245.0
2011-12-16 - UA-46-LAX-IAH,24265.0,24283.0,24461.0,24476.0
2011-12-31 - UA-2458-CLT-CLE,46129.0,46126.0,46222.0,46213.0
2011-12-19 - UA-520-MSP-ORD,28080.0,28080.0,28165.0,28168.0
2011-12-02 - AA-3762-IAH-LAX,3720.0,3720.0,3940.0,3933.0
2011-12-19 - AA-4-LAX-JFK,28575.0,28574.0,28905.0,28900.0
2012-01-02 - UA-854-SFO-IAH,48455.0,48462.0,48690.0,48693.0
2011-12-16 - AA-3762-IAH-LAX,23880.0,23878.0,24100.0,24083.0
2011-12-22 - AA-1279-DFW-PHX,32820.0,32866.0,32975.0,33014.0
2011-12-24 - AA-3536-CLT-MIA,35860.0,35872.0,35990.0,35965.0
2011-12-24 - UA-5877-IAD-YOW,35920.0,35916.0,36012.0,36003.0
2011-12-20 - AA-1372-LAX-ORD,29900.0,29918.0,30150.0,30152.0
2011-12-04 - AA-1299-MIA-SJU,7230.0,7254.0,7375.0,7377.0
2011-12-28 - UA-1031-IAH-DFW,41625.0,41622.0,41705.0,41684.0
2011-12-16 - AA-4315-CLE-ORD,24160.0,24174.0,24243.0,24234.0
2011-12-14 - UA-2327-BDL-CLT,20955.0,20955.0,21098.0,21064.0
2011-12-12 - CO-1586-IAH-MCO,18780.0,18779.0,18915.0,18905.0
2011-12-26 - AA-3824-DEN-LAX,39070.0,39074.0,39230.0,39214.0
2011-12-07 - CO-90-LAX-EWR,11330.0,11340.0,11644.0,11672.0
2011-12-17 - AA-1494-LAS-DFW,25455.0,25462.0,25615.0,25600.0
2011-12-25 - AA-3719-IAH-LAX,37125.0,37148.0,37345.0,37336.0
2011-12-10 - AA-463-ORF-DFW,15090.0,15100.0,15310.0,15280.0
2011-12-09 - UA-5910-YYZ-IAD,13740.0,13735.0,13831.0,13843.0
2011-12-28 - UA-3740-DFW-ORD,41761.0,41765.0,41899.0,41874.0
2011-12-28 - UA-2891-PHL-MCO,41860.0,41865.0,42013.0,42009.0
2011-12-31 - AA-2324-DFW-ORD,45405.0,45400.0,45550.0,45529.0
2011-12-11 - UA-3039-PDX-PHX,16845.0,16842.0,16995.0,16989.0
2011-12-08 - AA-4388-ORD-DTW,12870.0,12869.0,12950.0,12964.0
2011-12-16 - CO-4134-IAH-BRO,24500.0,24540.0,24575.0,24597.0
2011-12-26 - UA-606-LAX-LIH,38407.0,38424.0,38782.0,38738.0
2011-12-27 - AA-618-SFO-ORD,40430.0,40425.0,40670.0,40671.0
2011-12-29 - UA-2439-CLT-PVD,43264.0,43271.0,43367.0,43359.0
2011-12-19 - AA-3532-CLT-MIA,28010.0,28043.0,28145.0,28139.0
2011-12-22 - UA-2739-PHX-SFO,32625.0,32625.0,32757.0,32754.0
2012-01-03 - AA-4388-ORD-DTW,50310.0,50310.0,50390.0,50396.0
2011-12-13 - AA-3752-ORD-CLE,20385.0,20395.0,20455.0,20433.0
2011-12-16 - CO-1281-CLE-TPA,24285.0,24274.0,24441.0,24436.0
2011-12-22 - AA-3549-MIA-CVG,33260.0,33278.0,33397.0,33415.0
2011-12-11 - AA-1106-DFW-OKC,17485.0,17485.0,17535.0,17535.0
2011-12-03 - AA-1990-TUS-ORD,5590.0,5599.0,5756.0,5764.0
2011-12-24 - UA-1585-DEN-IAH,35340.0,35337.0,35490.0,35482.0
2011-12-05 - UA-500-SFO-PHX,8458.0,8475.0,8568.0,8563.0
2011-12-05 - UA-6470-SMX-LAX,8508.0,8504.0,8567.0,8553.0
2011-12-02 - CO-4202-IAH-ATL,3940.0,3952.0,4062.0,4059.0
2011-12-09 - UA-4284-OMA-EWR,13780.0,13807.0,13949.0,13948.0
2011-12-31 - AA-3877-PHL-ORD,45530.0,45564.0,45675.0,45665.0
2011-12-18 - AA-3822-DEN-LAX,27340.0,27339.0,27500.0,27470.0
